SKU,Product_Name,Unit_Cost,Lead_Time_Days,Safety_Stock,Reorder_Point
PROD-365,Perfect Fitness Perfect Rip Deck,59.99,3,2,6
PROD-403,Nike Men's CJ Elite 2 TD Football Cleat,129.99,4,5,15
PROD-502,Nike Men's Dri-FIT Victory Golf Polo,50.0,3,2,7
PROD-1014,O'Brien Men's Neoprene Life Vest,49.98,3,6,18
PROD-1004,Field & Stream Sportsman 16 Gun Fire Safe,399.98,6,2,5
PROD-1073,Pelican Sunstream 100 Kayak,199.99,5,2,6
PROD-957,Diamondback Women's Serene Classic Comfort Bi,299.98,5,3,9
PROD-191,Nike Men's Free 5.0+ Running Shoe,99.99,4,3,8
PROD-627,Under Armour Girls' Toddler Spine Surge Runni,39.99,2,3,9
PROD-1362,Fighting video games,39.75,2,2,7
PROD-1350,Children's heaters,357.1,6,1,3
PROD-1363,Summer dresses,215.82,5,2,7
PROD-1349,Web Camera,452.04,7,3,8
PROD-1361,Toys,11.54,2,4,11
PROD-1359,Adult dog supplies,84.4,4,4,12
